"Data of 1 min 
(Friday, January 13, 2023 7:45:00.179 PM GMT+05:45) ",,,,,,,,,,,,
Date and time,Acc X Ts,Acc X Value,Acc Y Ts,Acc Y Value,Acc Z Ts,Acc Z Value,Gyro X Ts,Gyro X Value,Gyro Y Ts,Gyro Y Value,Gyro Z Ts,Gyro Z Value
1/13/2023 19:30:18,1673618418227,0.145,1673618418227,0.618,1673618418227,-0.663,1673618418227,-10.43,1673618418227,-11.97,1673618418227,7.56
1/13/2023 19:30:17,1673618417425,0.055,1673618417425,0.664,1673618417425,-0.65,1673618417425,-35.84,1673618417425,-17.15,1673618417425,24.5
1/13/2023 19:30:17,1673618416624,0.236,1673618416624,0.889,1673618416624,-0.327,1673618416624,146.51,1673618416624,-16.94,1673618416624,11.69
1/13/2023 19:30:16,1673618415822,0.217,1673618415822,0.908,1673618415822,-0.315,1673618415822,-33.53,1673618415822,11.62,1673618415822,0.28
1/13/2023 19:30:15,1673618415018,0.097,1673618415018,0.854,1673618415018,-0.382,1673618415018,9.24,1673618415018,-12.88,1673618415018,31.43
1/13/2023 19:30:14,1673618414216,0.194,1673618414216,0.912,1673618414216,-0.397,1673618414216,-46.2,1673618414216,8.4,1673618414216,1.61
1/13/2023 19:30:14,1673618413614,0.135,1673618413614,0.832,1673618413614,-0.399,1673618413614,41.16,1673618413614,-9.94,1673618413614,-2.31
1/13/2023 19:30:13,1673618412812,0.004,1673618412812,0.885,1673618412812,-0.313,1673618412812,105.91,1673618412812,-31.36,1673618412812,-31.29
1/13/2023 19:30:12,1673618412010,0.235,1673618412010,0.913,1673618412010,-0.351,1673618412010,-28.56,1673618412010,-56.21,1673618412010,-13.16
1/13/2023 19:30:11,1673618411208,0.224,1673618411208,0.988,1673618411208,-0.373,1673618411208,-75.88,1673618411208,-33.25,1673618411208,5.32
1/13/2023 19:30:10,1673618410406,0.056,1673618410406,0.805,1673618410406,-0.439,1673618410406,25.97,1673618410406,-24.01,1673618410406,-2.87
1/13/2023 19:30:10,1673618409604,-0.017,1673618409604,0.891,1673618409604,-0.35,1673618409604,-154.7,1673618409604,-4.27,1673618409604,12.39
1/13/2023 19:30:09,1673618408802,0.112,1673618408802,0.926,1673618408802,-0.421,1673618408802,62.65,1673618408802,-15.12,1673618408802,-12.39
1/13/2023 19:30:08,1673618408001,0.104,1673618408001,0.933,1673618408001,-0.386,1673618408001,-80.99,1673618408001,-24.15,1673618408001,19.04
1/13/2023 19:30:07,1673618407199,0.073,1673618407199,0.915,1673618407199,-0.336,1673618407199,11.41,1673618407199,6.72,1673618407199,10.85
1/13/2023 19:30:06,1673618406397,0.049,1673618406397,0.843,1673618406397,-0.414,1673618406397,40.39,1673618406397,40.81,1673618406397,-23.8
1/13/2023 19:30:06,1673618405595,0.082,1673618405595,0.878,1673618405595,-0.371,1673618405595,-2.03,1673618405595,-13.23,1673618405595,5.32
1/13/2023 19:30:05,1673618404793,0.151,1673618404793,0.842,1673618404793,-0.351,1673618404793,-69.51,1673618404793,-12.67,1673618404793,13.02
1/13/2023 19:30:04,1673618403991,0.059,1673618403991,0.896,1673618403991,-0.414,1673618403991,38.57,1673618403991,-1.26,1673618403991,-12.25
1/13/2023 19:30:03,1673618403189,-0.116,1673618403189,0.903,1673618403189,-0.457,1673618403189,-4.55,1673618403189,-4.9,1673618403189,1.47
1/13/2023 19:30:03,1673618402584,-0.022,1673618402584,0.82,1673618402584,-0.43,1673618402584,16.8,1673618402584,-20.72,1673618402584,-3.15
1/13/2023 19:30:02,1673618401782,0.139,1673618401782,0.887,1673618401782,-0.332,1673618401782,5.95,1673618401782,11.69,1673618401782,-18.69
1/13/2023 19:30:01,1673618400981,0.25,1673618400981,0.911,1673618400981,-0.362,1673618400981,-37.87,1673618400981,-28.21,1673618400981,20.09
1/13/2023 19:30:00,1673618400179,0.143,1673618400179,0.842,1673618400179,-0.295,1673618400179,-50.12,1673618400179,37.8,1673618400179,35.98
